name_csc,name_lit,ra_csc,dec_csc,Class,Subclass,ref,Cluster,HST_Counterpart,HUGS_Counterpart,F_b,F_h,F_m,F_s,L_b,L_h,L_m,L_s,P_inter,P_intra,Class,F555W_abs,F625W_abs,F656N_abs,F658N_abs,F555W-F625W,F625W-F658N,F275W_h_abs,F336W_h_abs,F438W_h_abs,F606W_h_abs,F814W_h_abs,F275W-F336W,F336W-F438W,F438W-F606W,F606W-F814W
2CXO J002422.3-720117,J0024-7204X,6.093301618477085,-72.02147767362824,MSP,,ATNF fre08,NGC 104,,,1.0521043878753e-15,3.733490424893e-16,1.7096817108183002e-16,4.5045598197539e-16,2.549679351700668e+30,9.047774684549732e+29,4.143258222558002e+29,1.0916391275699414e+30,0.99504903022055,0.909988269429364,MSP,,,,,,,,,,,,,,,
2CXO J174852.9-202138,J1748-2021B,267.2205432931908,-20.360623159287435,MSP,,ATNF frb+08,NGC 6440,,,2.5740341489582998e-14,2.5544286324352e-14,3.1910354353432e-15,6.3394159723986e-16,2.2256345942163963e+32,2.208682715070212e+32,2.7591237898473043e+31,5.481366088716515e+30,0.67066596206553,1.0,MSP,,,,,,,,,,,,,,,
2CXO J182433.2-245209,J1824-2452M,276.1387292820202,-24.8692751073172,Spider,UL,ATNF dpr+22,NGC 6626,,,6.609478747834501e-16,3.3915553525862e-16,1.5433879600051002e-16,2.6481704684189e-16,2.39273331754988e+30,1.227795382972738e+30,5.587302622040316e+29,9.586785814862622e+29,0.45051198569892,0.7947181323421499,Spider,,,,,,,,,,,,,,,
2CXO J191142.6-595826,J1910-5959A,287.9281840586658,-59.974118138223176,MSP,,ATNF dlm+01,NGC 6752,,,0.0,0.0,2.7424622363205e-16,3.9734192569061e-16,0.0,0.0,5.251245787862571e+29,7.608272908886003e+29,,0.924447369268226,MSP,,,,,,,,,,,,,,,
2CXO J191105.5-600059,J1910-5959C,287.773065098643,-60.01660085562779,MSP,,ATNF dpf+02,NGC 6752,,,1.4753698347563001e-15,6.886259257504401e-16,3.2824564293349e-16,5.390187680775701e-16,2.825026914754605e+30,1.3185756741218286e+30,6.285222552968964e+29,1.0321090288717544e+30,0.57305028897047,0.8510567690455,MSP,,,,,,,,,,,,,,,
2CXO J174805.6-244642,J1748-2446an,267.0235624971107,-24.778431539127894,MSP,,ATNF rgf+21,TERZAN 5,,,1.1877137302162e-15,1.0320955866053e-15,6.419944944011e-16,0.0,6.767241355428983e+30,5.880575225108951e+30,3.657894644089033e+30,0.0,0.45307503620426,0.9999999999999688,MSP,,,,,,,,,,,,,,,
2CXO J174804.5-244634,J1748-2446C,267.01916010650166,-24.77627319586592,MSP,,ATNF lmbm00,TERZAN 5,,,2.4676998731448e-15,2.3224034403101002e-15,1.1006806783299e-16,0.0,1.4060223612378824e+31,1.3232367535564495e+31,6.271352781414642e+29,0.0,0.80388797490599,0.10689962365408,MSP,,,,,,,,,,,,,,,
2CXO J002405.3-720421,33,6.022423715750563,-72.07269162647064,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,4.9737015329922e-15,4.1109341756363e-15,6.410683136502801e-16,3.2451193436519004e-16,1.2053313574522622e+31,9.96247530626476e+30,1.5535707874430195e+30,7.864251760248664e+29,0.96585843884518,0.0549875771600499,CV,8.133937431123282,8.943937431123285,,7.973937431123282,-0.8100000000000023,0.9700000000000024,9.112937431123283,9.214437431123285,10.181637431123283,9.448337431123283,8.724337431123285,-0.1014999999999979,-0.9672000000000018,0.7332999999999998,0.7240000000000002
2CXO J002417.2-720302,116,6.0718212093151465,-72.05079239132564,none,,https://ui.adsabs.harvard.edu/abs/2017MNRAS.472.3706B/abstract,NGC 104,,,5.1262759093444e-16,3.5311038293955e-17,1.3309676023941002e-16,4.3491783265272e-16,1.2423063707177632e+30,8.55730916653867e+28,3.225479004474028e+29,1.0539838350455374e+30,0.54003614120364,0.908273893755104,none,,,,,,,,,,,,,,,
2CXO J002359.3-720448,62,5.997233453401975,-72.0800830116528,CV,AM CVn?,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,maybe,6.5861951875451e-16,1.9365279472612e-16,2.0018800506756e-16,3.5140654679525e-16,1.596104537674867e+30,4.692999457111263e+29,4.851374339476691e+29,8.516018246304262e+29,0.59036429905398,0.11626105483797,CV,,5.893937431123284,,5.773937431123283,,0.120000000000001,7.397337431123283,6.986737431123284,7.097637431123285,6.702937431123285,6.377037431123284,0.4105999999999987,-0.1109000000000008,0.3947000000000003,0.3259000000000007
2CXO J002402.8-720449,51,6.01175883033352,-72.08032320947372,CV,,https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4841R/abstract,NGC 104,main,yes,2.5949135995836998e-14,1.4798895668704e-14,4.8218616549075e-15,5.970350482488401e-15,6.288537240745729e+31,3.58637784893824e+31,1.168534343165578e+31,1.4468601712001436e+31,1.0,1.0,CV,,8.143937431123284,,7.383937431123282,,0.7600000000000016,8.561337431123285,9.339037431123284,10.305337431123284,9.903737431123282,8.641237431123283,-0.7776999999999994,-0.9663000000000004,0.4016000000000019,1.2624999999999993
